#* Remote control CODEs captured on ESP IR receiver with dump NEC enabled
# Button names starting with "??" are not on remote, but remote behavior reflects it
# Pawelo, 20241219, Capturing Apple TV and Smart TV remote codes
# Pawelo, 20241220, Capturing LG TV, Yamaha AV and Yamaha BD remote codes
# Pawelo, 20241220, Capturing CREATIVE remote codes

Remote Model,Button,CODE sent by remote
Yamaha A810 (RAV447) - 2nd ZONE,?? OK,Received NEC: address=0x857A, command=0x502F command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,RETURN,Received NEC: address=0x857A, command=0x433C command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,DISPLAY,Received NEC: address=0x017F, command=0x7F80 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,TOP_MENU,Received NEC: address=0x857A, command=0xDEA1 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,POPUP_MENU,Received NEC: address=0x857A, command=0xDAA5 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,VOLUMEUP,Received NEC: address=0x857A, command=0x25DA command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,VOLUMEDOWN,Received NEC: address=0x857A, command=0x24DB command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,MUTE,Received NEC: address=0x857A, command=0x23DC command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,MODE,Received NEC: address=0x017F, command=0x7986 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,STOP,Received NEC: address=0x017F, command=0x7689 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,PAUSE,Received NEC: address=0x017F, command=0x7887 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,PLAY,Received NEC: address=0x017F, command=0x7788 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,REWIND,Received NEC: address=0x017F, command=0x758A command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,FORWARD,Received NEC: address=0x017F, command=0x748B command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,SKIPBACK,Received NEC: address=0x017F, command=0x738C command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,SKIPFORWARD,Received NEC: address=0x017F, command=0x728D command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,1,Received NEC: address=0x017F, command=0x8E71 command_repeats=1
